N, P,K,LABEL
65,50,50,Beans
75,60,80,Beans
88,70,60,Beans
99,80,50,Beans
100,55,70,Beans
110,68,55,Beans
120,78,66,Beans
110,55,60,okra
103,50,65,okra
120,58,80,okra
134,60,75,okra
140,80,88,okra
145,75,60,okra
138,88,55,okra
150,60,50,okra
149,75,58,okra
119,87,60,okra
140,89,63,okra
122,66,56,onion
140,65,80,onion
156,77,60,onion
130,78,70,onion
160,80,64,onion
179,68,73,onion
208,78,80,onion
234,79,77,onion
256,67,57,onion
300,74,63,onion
239,70,73,onion
220,69,56,onion
213,68,67,onion
150,60,81,potato
113,65,112,potato
109,68,119,potato
149,80,85,potato
178,70,98,potato
189,78,93,potato
169,65,102,potato
120,79,111,potato
178,74,112,potato
199,88,98,potato
138,65,93,potato
160,67,90,potato
189,65,100,potato
167,78,92,potato
112,66,65,tomato
107,65,78,tomato
108,77,56,tomato
150,66,89,tomato
113,73,72,tomato
109,62,73,tomato
149,64,79,tomato
178,78,73,tomato
155,63,78,tomato
189,76,80,tomato
140,70,75,tomato
189,62,78,tomato
179,78,89,tomato
156,71,50,tomato
120,51,61,watermelon
140,60,69,watermelon
150,52,80,watermelon
130,56,77,watermelon
154,54,74,watermelon
123,60,63,watermelon
102,44,79,watermelon
139,45,71,watermelon
129,48,75,watermelon
110,58,76,watermelon
128,59,72,watermelon
